SCHUELER_ID	SCHUELER_NAME	BEWERB_ID	BEWERB	ZEIT	DURCHGANG
1054	Wuckert	1001	100m Lauf	14.42	1
1005	Homenick	1001	100m Lauf	15.16	1
1070	Gulgowski	1001	100m Lauf	13.43	1
1066	Leannon	1001	100m Lauf	12.72	1
1033	Upton	1001	100m Lauf	14.48	1
1095	Harvey	1001	100m Lauf	14.53	1
1055	Doyle	1001	100m Lauf	14.60	1
1014	Harber	1001	100m Lauf	13.89	1
1067	Stokes	1001	100m Lauf	13.68	1
1088	Hartmann	1001	100m Lauf	17.90	1
1096	Hudson	1001	100m Lauf	15.15	1
1016	Mayer	1001	100m Lauf	16.99	1
1040	Wunsch	1001	100m Lauf	13.42	1
1094	Torp	1001	100m Lauf	16.41	1
1036	Leffler	1001	100m Lauf	17.47	1
1003	Brekke	1001	100m Lauf	13.73	1
1076	Haley	1001	100m Lauf	17.38	1
1030	Wiegand	1001	100m Lauf	15.02	1
1047	Koepp	1001	100m Lauf	15.54	1
1074	Green	1001	100m Lauf	16.72	1
1075	Mosciski	1001	100m Lauf	16.44	1
1092	Upton	1001	100m Lauf	12.52	1
1078	Kulas	1001	100m Lauf	15.60	1
1021	Kessler	1001	100m Lauf	13.19	1
1028	Rutherford	1001	100m Lauf	15.24	1
1019	Watsica	1001	100m Lauf	14.80	1
1064	Kessler	1001	100m Lauf	13.04	1
1024	O'Reilly	1001	100m Lauf	13.87	1
1053	Stroman	1001	100m Lauf	16.14	1
1084	Gaylord	1001	100m Lauf	13.82	1
1087	Hammes	1001	100m Lauf	13.26	1
1072	Bode	1001	100m Lauf	14.29	1
1020	Bogan	1001	100m Lauf	15.34	1
1062	Ryan	1001	100m Lauf	16.40	1
1025	Marvin	1001	100m Lauf	15.59	1
1091	Goodwin	1001	100m Lauf	16.86	1
1011	Walsh	1001	100m Lauf	15.89	1
1085	Torphy	1001	100m Lauf	15.61	1
1090	Bernhard	1001	100m Lauf	15.02	1
1063	Gislason	1001	100m Lauf	15.73	1
1045	Heathcote	1001	100m Lauf	17.93	1
1081	Zboncak	1001	100m Lauf	13.76	1
1027	Considine	1001	100m Lauf	15.80	1
1018	Koch	1001	100m Lauf	14.36	1
1058	Wiegand	1001	100m Lauf	16.53	1
1060	Langworth	1001	100m Lauf	16.33	1
1097	Rice	1001	100m Lauf	16.34	1
1099	Walter	1001	100m Lauf	15.01	1
1002	Gerlach	1001	100m Lauf	11.50	1
